Nom,Arborescence,Couleurs disponibles,Prix,Description,Volume,Dimensions
FRFCvg 6511 Perfection,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFCvg 6511,None,€ 2.300,"La poignée fine permet d'accéder à l'intérieur facile à nettoyer de ce réfrigérateur en acier inoxydable. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. La LightAlarm avertit lorsque la porte est ouverte trop longtemps et l'éclairage LED assure une visibilité optimale des produits stockés. L'écran tactile réglable en plusieurs langues est intuitif. L'HumidityControl se charge d'obtenir le taux d'humidité souhaité et le refroidissement dynamique assure une température homogène dans l'appareil.",688 l,"H 201,8 x L 74,7 x D 76,9 cm"
FRFvg 4001 Performance,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFvg 4001,None,€ 1.600,,420 l,"H 188,4 x L 59,7 x D 65,4 cm"
FRFvg 5501 Performance,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFvg 5501,None,€ 1.700,"Le modèle Liebherr FRFvg 5501 offre une réfrigération dynamique avec intérieur gastronorme 2/1. La température est réglable entre +1 °C et + 15 °C. Finition avec porte à fermeture automatique, verrou, alarme de température, pieds réglables et 5 grilles réglables. Peut être livré avec roulettes pivotantes au lieu de pieds réglables.",571 l,"H 181,8 x L 74,7 x D 76,9 cm"
GKPv 1470 ProfiLine,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 1470,None,€ 5.800,Le modèle Liebherr GKPv 1470 avec intérieur GN 2/1 offre une capacité de réfrigération de plus de 1300 litres. La plage de température est réglable au degré près entre -2 °C et +15 °C. L'armoire tout en acier inoxydable se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,1361 l,H 212 x L 143 x D 83 cm
GKPv 1490 ProfiPremiumline,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 1490,None,€ 6.500,Le modèle Liebherr GKPv 1490 est peu énergivore et offre une capacité de réfrigération GN 2/1 de plus de 1300 litres. La plage de température est réglable entre -2 °C et +15 °C. L'armoire en acier inoxydable dispose d'une pédale d'ouverture et se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,1361 l,H 212 x L 143 x D 83 cm
GKPv 6570 ProfiLine,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 6570,None,€ 3.600,Le modèle Liebherr GKPv 6570 avec intérieur GN 2/1 offre une capacité de réfrigération de plus de 600 litres. La plage de température est réglable entre -2 °C et +15 °C. L'armoire en acier inoxydable se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,597 l,H 212 x L 70 x D 83 cm
GKPv 6573 ProfiLine,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 6573,None,€ 4.000,Le modèle Liebherr GKPv 6573 avec porte en verre isolant à fermeture automatique et éclairage LED offre une capacité de réfrigération GN 2/1 de plus de 600 litres. La température est réglable entre +1 °C et +15 °C. L'armoire en acier inoxydable se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,597 l,H 212 x L 70 x D 83 cm
GKPv 6577 ProfiLine,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 6577,None,€ 4.000,Le modèle Liebherr GKPv 6577 avec intérieur GN 2/1 offre une capacité de réfrigération de plus de 600 litres. La plage de température est réglable entre +1 °C et +15 °C. L'armoire en acier inoxydable se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,596 l,"H 212 x L 70 x D 83,8 cm"
GKPv 6590 ProfiPremiumline,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 6590,None,€ 4.200,Le modèle Liebherr GKPv 6590 est peu énergivore et offre une capacité de réfrigération GN 2/1 de 600 litres. L'armoire en acier inoxydable dispose d'une pédale d'ouverture et se nettoie facilement grâce aux nervures préformées dans la cuve intérieure en acier nickel chrome.,597 l,H 212 x L 70 x D 83 cm
FFFBvg 5501 Perfection,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFBvg 5501,None,€ 2.495,,472 l,"H 181,8 x L 74,7 x D 76,9 cm"
FFFCsg 4001 Perfection,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFCsg 4001,None,€ 2.100,"La formation de givre est réduite dans ce congélateur SmartFrost en acier inoxydable, ce qui facilite le dégivrage et le rend nécessaire moins fréquent. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. Si la porte reste ouverte trop longtemps, la LigthAlarm permet de s'en apercevoir rapidement. Des fluctuations de température minimales permettent de conserver les produits frais plus longtemps. L'écran tactile réglable en plusieurs langues est intuitif.",316 l,"H 188,4 x L 59,7 x D 65,4 cm"
FFFCsg 5501 Perfection,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFCsg 5501,None,€ 2.100,"La formation de givre est réduite dans ce congélateur SmartFrost en acier inoxydable, ce qui facilite le dégivrage et le rend nécessaire moins fréquent. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. Si la porte reste ouverte trop longtemps, la LigthAlarm permet de s'en apercevoir rapidement. Des fluctuations de température minimales permettent de conserver les produits frais plus longtemps. L'écran tactile réglable en plusieurs langues est intuitif.",499 l,"H 181,8 x L 74,7 x D 76,9 cm"
FFFCvg 5501 Perfection,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFCvg 5501,None,€ 2.100,"La formation de givre est réduite dans ce congélateur SmartFrost en acier inoxydable, ce qui facilite le dégivrage et le rend nécessaire moins fréquent. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. Si la porte reste ouverte trop longtemps, la LigthAlarm permet de s'en apercevoir rapidement. Des fluctuations de température minimales permettent de conserver les produits frais plus longtemps. L'écran tactile réglable en plusieurs langues est intuitif.",472 l,"H 181,8 x L 74,7 x D 76,9 cm"
FFFCvg 6501 Perfection,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFCvg 6501,None,€ 2.400,"La formation de givre est réduite dans ce congélateur SmartFrost en acier inoxydable, ce qui facilite le dégivrage et le rend nécessaire moins fréquent. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. Si la porte reste ouverte trop longtemps, la LigthAlarm permet de s'en apercevoir rapidement. Des fluctuations de température minimales permettent de conserver les produits frais plus longtemps. L'écran tactile réglable en plusieurs langues est intuitif.",544 l,"H 201,8 x L 74,7 x D 76,9 cm"
FFFsg 4001 Performance,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFsg 4001,None,€ 1.850,"Une fonction de minuterie rappelle quand l'intérieur entièrement lisse doit être nettoyé, tandis que SmartFrost réduit la formation de givre. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement, et si la porte reste ouverte trop longtemps, la LightAlarm vous en avertit. La poignée fine réduit les vibrations, de sorte que les produits de petite taille restent en position verticale lors de l'ouverture de la porte. L'écran tactile réglable en plusieurs langues est intuitif. La serrure mécanique est standard et les roulettes sont en option.",316 l,"H 188,4 x L 59,7 x D 65,4 cm"
FFFsg 5501 Performance,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFsg 5501,None,€ 2.000,"Une fonction de minuterie rappelle quand l'intérieur entièrement lisse doit être nettoyé, tandis que SmartFrost réduit la formation de givre. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement, et si la porte reste ouverte trop longtemps, la LightAlarm vous en avertit. La poignée fine réduit les vibrations, de sorte que les produits de petite taille restent en position verticale lors de l'ouverture de la porte. L'écran tactile réglable en plusieurs langues est intuitif. La serrure mécanique est standard et les roulettes sont en option.",499 l,"H 181,8 x L 74,7 x D 76,9 cm"
FFFsg 6501 Performance,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/FFFsg 6501,None,€ 2.100,"Une fonction de minuterie rappelle quand l'intérieur entièrement lisse doit être nettoyé, tandis que SmartFrost réduit la formation de givre. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement, et si la porte reste ouverte trop longtemps, la LightAlarm vous en avertit. La poignée fine réduit les vibrations, de sorte que les produits de petite taille restent en position verticale lors de l'ouverture de la porte. L'écran tactile réglable en plusieurs langues est intuitif. La serrure mécanique est standard et les roulettes sont en option.",573 l,"H 201,8 x L 74,7 x D 76,9 cm"
GG 4010 ProfiLine,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/GG 4010,None,€ 1.700,"Le modèle Liebherr GG 4010 est un congélateur gastronorme statique, avec plage de température à réglage digital de -14 °C à -28 °C. Finition avec 6 plaques d'évaporation fixes et 3 corbeilles, alarme de température, porte à fermeture automatique et verrou.",382 l,"H 190 x L 59,7 x D 68 cm"
GGPv 1470 ProfiLine,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/GGPv 1470,None,€ 6.400,Le modèle Liebherr GGPv 1470 offre une capacité de congélation professionnelle GN 2/1 de plus de 1300 litres. La plage de température est réglable au degré près entre -10 °C et -26 °C à l'intérieur en acier nickel chrome se nettoie facilement et rapidement grâce aux nervures préformées dans la cuve intérieure.,1361 l,H 212 x L 143 x D 83 cm
GGPv 1490 ProfiPremiumline,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/GGPv 1490,None,€ 7.000,Le modèle Liebherr GGPv 1490 est peu énergivore et dispose d'un intérieur GN 2/1 en acier nickel chrome de 1361 litres. La plage de température est réglable entre -10 °C et -26 °C. Le gaz chaud assure un dégivrage rapide et automatique.,1361 l,H 212 x L 143 x D 83 cm
GGPv 6570 ProfiLine,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/GGPv 6570,None,€ 4.200,Le congélateur Liebherr GGPv 6570 offre une capacité de congélation professionnelle avec intérieur GN 2/1. La plage de température est réglable au degré près entre -10 °C et -26 °C. L'armoire tout en acier dispose de portes à fermeture automatique et se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,597 l,H 212 x L 70 x D 83 cm
GGPv 6577 ProfiLine,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/GGPv 6577,None,€ 4.700,Le congélateur Liebherr GGPv 6577 offre une capacité de congélation professionnelle avec intérieur GN 2/1. La plage de température est réglable au degré près entre -10 °C et -26 °C. L'armoire tout en acier dispose de portes à fermeture automatique et se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,596 l,"H 212 x L 70 x D 83,8 cm"
GGPv 6590 ProfiPremiumline,Appareils professionnels/Gastronomie/Congélateurs pour la gastronomie/GGPv 6590,None,€ 4.700,Le modèle Liebherr GGPv 6590 est peu énergivore et dispose d'un intérieur GN 2/1 en acier nickel chrome de 600 litres. La plage de température est réglable entre -10 °C et -26 °C. Le gaz chaud permet un dégivrage rapide et automatique.,597 l,H 212 x L 70 x D 83 cm
GCv 4060 ProfiLine,Appareils professionnels/Gastronomie/Combinés pour la gastronomie/GCv 4060,None,€ 2.400,Le modèle Liebherr GCv 4060 est un combiné réfrigérateur/congélateur gastronorme 2/3 tout en acier inoxydable. La température de la partie réfrigérateur est à réglage digital allant de +1 °C à + 15 °C et le ventilateur est commutable séparément. La partie congélateur statique complètement séparée a une plage de température de -14 °C à -28 °C.,361 l,"H 200,3 x L 59,7 x D 66,5 cm"
LKPv 1420 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 1420,None,€ 8.000,"Le modèle Liebherr LKPv 1420 offre une capacité de réfrigération de plus de 1400 litres pour un usage médical et de laboratoire. La plage de température se situe entre -2 °C et +16 °C, l'affichage digital est précis au 0,1 °C près. Plusieurs tiroirs coulissants AluCool (accessoire) peuvent être installés.",1366 l,H 216 x L 143 x D 83 cm
LKPv 1423 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 1423,None,€ 9.000,"Le modèle Liebherr LKPv 1423 offre une capacité de réfrigération de plus de 1400 litres pour un usage médical et de laboratoire. La plage de température s'étend de 0 °C à +16 °C, l'affichage digital est précis aà 0,1 °C près. Les portes sont pourvues d'un verre isolant. L'éclairage de plafond LED est commutable séparément.",1397 l,H 216 x L 143 x D 83 cm
LKPv 6520 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 6520,None,€ 5.500,"Le modèle Liebherr LKPv 6520 offre une capacité de réfrigération de plus de 600 litres pour un usage médical et de laboratoire. La plage de température se situe entre -2 °C et +16 °C, l'affichage digital est précis au 0,1 °C près. Plusieurs tiroirs coulissants AluCool (accessoire) peuvent être installés.",602 l,H 216 x L 70 x D 83 cm
LKPv 6523 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 6523,None,€ 6.000,"Le modèle Liebherr LKPv 6523 offre une capacité de réfrigération de plus de 600 litres pour un usage médical et de laboratoire. La plage de température s'étend de 0 °C à +16 °C, L'affichage digital est précis au 0,1 °C. La porte est pourvue d'un verre isolant, l'éclairage de plafond LED est commutable séparément.",617 l,H 216 x L 70 x D 83 cm
LKPv 6527 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 6527,None,€ 6.000,"Le Liebherr LKPv 6527 offre 464 litres d'espace de refroidissement net accessibles via deux portes séparées. En plaçant les produits fréquemment utilisés en haut et les produits moins fréquemment requis au bas, une précieuse économie d'énergie est réalisée. Si vous le souhaitez, vous pouvez accrocher un certain nombre de tiroirs AluCool (accessoire).",598 l,H 216 x L 70 x D 83 cm
LKPv 8420 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 8420,None,€ 6.700,"Le modèle Liebherr LKPv 8420 offre, Grâce à une exécution extra large et profonde, une capacité de réfrigération de plus de 850 litres pour un usage médical et de laboratoire. La plage de température se situe entre -2 °C et +16 °C, l'affichage digital est précis au 0,1 °C près. Des tiroirs coulissants AluCool (accessoire) peuvent être installés.",855 l,H 216 x L 79 x D 98 cm
LKUv 1610 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKUv 1610,None,€ 1.750,"Le modèle Liebherr LKUv 1610 Mediline offre une capacité de réfrigération de plus de 140 litres, avec une plage de température de 3 °C à + 16 °C. La porte à fermeture automatique et les 3 grilles de support réglables sont d'un usage pratique. L'affichage digital de la température est précis au 0,1 °C près.",142 l,"H 82 x L 60,1 x D 61,8 cm"
LKUv 1613 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKUv 1613,None,€ 1.950,"Le modèle Liebherr LKUv 1613 Mediline offre une capacité de réfrigération de 140 litres dans une plage de température de +3 °C à + 16 °C. La porte à fermeture automatique est équipée d'un verre isolant, l'éclairage plafond LED est commutable séparément.",152 l,"H 82 x L 60,1 x D 61,8 cm"
LKv 3913 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKv 3913,None,€ 2.650,"Le modèle Liebherr LKUv 3913 Mediline offre une capacité de réfrigération de plus de 360 litres, avec plage de température allant de +3 °C à +16 °C. La porte à fermeture automatique est pourvue d'un verre isolant, l'éclairage de plafond LED est commutable séparément.",386 l,"H 184 x L 60,1 x D 61,8 cm"
LKv 5710 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKv 5710,None,€ 3.000,"Le Liebherr LKv 5710 Mediline offre avec 583 litres un énorme espace de refroidissement avec une plage de température de +3 °C à +16 °C. La porte à fermeture automatique et les cinq grilles réglables sont pratiques à utiliser. La température est affichée de façon digitale et peut être ajustée avec précision à 0,1 °C près.",583 l,"H 184,4 x L 75,1 x D 75 cm"
SRFvg 3501-20 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 3501-20,None,€ 2.200,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED au plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",344 l,"H 168,4 x L 59,7 x D 65,4 cm"
SRFvg 3511 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 3511,None,€ 2.400,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu de ce réfrigérateur à porte vitrée garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED du plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",367 l,"H 168,4 x L 59,7 x D 65,4 cm"
SRFvg 4001 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 4001,None,€ 2.400,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED au plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvg 4011 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 4011,None,€ 2.650,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu de ce réfrigérateur à porte vitrée garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED du plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",420 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvg 5501 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 5501,None,€ 3.000,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED au plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",558 l,"H 168,4 x L 74,7 x D 76,9 cm"
SRFvg 5511 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 5511,None,€ 3.200,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu de ce réfrigérateur à porte vitrée garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED du plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",588 l,"H 168,4 x L 74,7 x D 76,9 cm"
SRFvh 4001 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 4001,None,€ 3.000,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvh 4011 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 4011,None,€ 3.200,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",420 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvh 5501 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 5501,None,€ 3.400,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",558 l,"H 179,3 x L 74,7 x D 76,9 cm"
SRFvh 5511 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 5511,None,€ 3.600,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",588 l,"H 179,3 x L 74,7 x D 76,9 cm"
LKexv 1800 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKexv 1800,None,€ 1.600,Le modèle Liebherr LKexv 1800 a été conçu pour conserver les matières facilement inflammables en vertu des dispositions ATEX 114. Ce réfrigérateur est équipé de tablettes en verre et a une capacité de réfrigération de 180 litres dans une plage de température de +1 °C à + 15 °C.,180 l,H 86 x L 60 x D 60 cm
LKexv 2600 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKexv 2600,None,€ 1.700,Le modèle Liebherr LKexv 2600 a été conçu pour conserver les matières facilement inflammables en vertu des dispositions ATEX 114. Ce réfrigérateur est équipé de tablettes en verre et a une capacité de réfrigération de 240 litres dans une plage de température de +1 °C à + 15 °C.,240 l,H 125 x L 60 x D 61 cm
LKexv 3600 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKexv 3600,None,€ 1.900,Le modèle Liebherr LKexv 3600 a été conçu pour conserver les matières facilement inflammables en vertu des dispositions ATEX 114. Ce réfrigérateur est équipé de tablettes en verre et a une capacité de réfrigération de 333 litres dans une plage de température de +1 °C à + 15 °C.,333 l,"H 164,1 x L 60 x D 61 cm"
LKUexv 1610 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKUexv 1610,None,€ 1.850,"Le modèle Liebherr LKUexv 1610 avec cuve intérieure antidéflagrante offre une capacité de réfrigération de plus de 140 litres, avec une plage de température de +3 °C à +16 °C. Les trois clayettes en verre réglables sont d'un usage pratique. L'affichage digital de la température est précis au 0,1 °C près.",141 l,"H 82 x L 60,1 x D 61,8 cm"
SRFfg 3501 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/SRFfg 3501,None,€ 2.400,"Ce réfrigérateur convient pour le stockage en toute sécurité de substances hautement inflammables et sensibles aux explosions. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",344 l,"H 168,4 x L 59,7 x D 65,4 cm"
SRFfg 4001 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/SRFfg 4001,None,€ 2.500,"Ce réfrigérateur convient pour le stockage en toute sécurité de substances hautement inflammables et sensibles aux explosions. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
